source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd
,0,134.32465253622846,-27.29406261980364,blank_area,GA.GeologicProvince.22115,,,,,-204.01800537109375,-426.38882,-309.04285
Endeavour E-28,1,148.0505042205308,-32.9379025653711,positive,,,,,,93.29898071289062,-186.38301,-2674.9626
,0,119.0271,-22.97570000000001,other_deposit,,MAC - Deposit R,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",-200.68783569335938,-739.63226,-1203.5088
,0,121.4642315754086,-23.649191855963053,blank_area,GA.GeologicProvince.464562,,,,,-163.91827392578125,-592.99493,-536.7037
,0,142.4699,-35.168600000000005,other_deposit,,Rownack,mineral deposit,VIC,"Ilmenite, Rutile, Zircon",-81.17298889160156,-139.28423,-507.28357
Homer,1,147.35584301623788,-34.2229943330268,positive,,,,,,284.3315124511719,49.67578,2324.8506
,0,141.90907926827526,-30.619460496454845,blank_area,GA.GeologicProvince.529302,,,,,-77.54489135742188,-197.11041,-4736.988
,0,135.81718615726342,-30.57428780329452,blank_area,GA.GeologicProvince.529302,,,,,-231.69793701171875,-351.69672,-898.46576
Mag H1,1,147.44210496914008,-34.29905749919684,positive,,,,,,250.89573669433594,12.081492,2468.5864
Chicane,1,147.40269512504736,-34.26391892130057,positive,,,,,,260.8602294921875,23.44628,918.6254
,0,142.50064994715942,-29.4748326135615,blank_area,GA.GeologicProvince.20489,,,,,71.42709350585938,-22.568266,317.5576
,0,146.00519692853183,-23.08672448768284,blank_area,GA.GeologicProvince.550790,,,,,280.7553405761719,-14.790647,-181.93886
Sunday Creek,1,148.47159011180727,-37.51563968653692,positive,,,,,,213.27862548828125,-73.55674,-179.0881
,0,143.8214468975512,-23.879490669642824,blank_area,GA.GeologicProvince.20489,,,,,-220.29490661621094,-399.14697,-1116.826
,0,152.5487,-27.441400000000066,other_deposit,,CLOAKE'S,OPERATING MINE,QLD,Unspecified/Unknown,399.0775451660156,216.80103,181.77525
Thursdays Gossan-Junction Reef (Victor 1 and Victor 2),1,142.61237874487475,-37.60779641519592,positive,,,,,,332.6007995605469,150.50528,1978.1823
,0,133.207041125929,-15.186589557827457,blank_area,GA.GeologicProvince.557149,,,,,82.865478515625,-54.236744,227.75186
,0,127.50594461427625,-26.836545181668832,blank_area,GA.GeologicProvince.466901,,,,,-496.7840576171875,-868.6936,-1543.7965
