OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,LONGITUDE,LATITUDE
Paddys River,Deposit,ACT,Iron,148.9512,-35.3284
Rheban,deposit,TAS,Industrial mineral,147.9408,-42.6539
Voyager 5,deposit,TAS,Iron,145.5006,-42.9542
Gawler Iron,deposit,TAS,Iron,146.1497,-41.2231
Munro Bay,deposit,TAS,Tin,148.0905,-40.3459
North Adit,deposit,TAS,Tin,145.3869,-41.4738
Paul Behrs Adit,deposit,TAS,Tin,145.3961,-41.4717
Unnamed,deposit,TAS,Tin,148.3674,-40.4573
Nile Road North,deposit,TAS,Bauxite,147.3715,-41.6444
Wanderer North C,deposit,TAS,Zinc,145.5095,-42.7719
Wanderer North A,deposit,TAS,Lead,145.5146,-42.7643
Wanderer North D,deposit,TAS,Lead,145.5107,-42.7738
Unnamed,deposit,TAS,Rutile,145.5686,-42.8875
Victoria Cove Beach Sand,deposit,TAS,Titanium,143.9342,-39.5951
Victoria Cove,deposit,TAS,Tungsten,143.9327,-39.5942
Mount Stewart,deposit,TAS,Talc,145.3152,-41.5169
Long Plains talc,deposit,TAS,Talc,145.1625,-41.5326
Unnamed,deposit,TAS,Iron,145.6965,-41.5617
Rosevale Prospect,deposit,TAS,Bauxite,146.8955,-41.4379
Bracknell,deposit,TAS,Bauxite,146.9587,-41.6747
Unnamed,deposit,TAS,Tin,148.3763,-40.4724
Home Rule,deposit,TAS,Lead,145.5575,-41.7211
Unnamed,deposit,TAS,Pyrite,145.302,-41.8677
Nickel Prospect,deposit,TAS,Nickel,145.3111,-41.8943
Section 5085-93M,deposit,TAS,Lead,145.3059,-41.8942
Perrys,deposit,TAS,Lead,145.3083,-41.8911
Wilson River asbestos,deposit,TAS,Asbestos,145.3727,-41.7078
Shakespeare Hills,deposit,TAS,Silica,145.4573,-40.9452
Alarm River,deposit,TAS,Silica,145.4659,-40.984
Unnamed,deposit,TAS,Coal - brown,145.454,-42.3348
Unnamed,deposit,TAS,Coal - brown,145.4827,-42.3609
Unnamed,deposit,TAS,Coal - brown,145.3524,-42.1709
Farm Cove,deposit,TAS,Coal - brown,145.4792,-42.3449
Unnamed,deposit,TAS,Lead,145.4435,-41.4477
Father of Marshes,deposit,TAS,Bauxite,146.5739,-42.3384
Section 9340M  C Lode,deposit,TAS,Lead,145.2935,-41.8596
Six Mile Area South,deposit,TAS,Bauxite,148.0551,-42.0504
Six Mile Area North,deposit,TAS,Bauxite,148.0597,-42.0387
Friendly Beaches,deposit,TAS,Industrial mineral,148.2815,-42.0112
Unnamed,deposit,TAS,Nickel,145.3943,-42.4279
Unnamed,deposit,TAS,Iron,145.2885,-42.428
Unnamed,deposit,TAS,Nickel,145.3945,-42.4288
